"","FIPS","STATE","AREA_NAME","stay at home",">50 gatherings",">500 gatherings","public schools","restaurant dine-in","entertainment/gym","federal guidelines","foreign travel ban","stay at home rollback",">50 gatherings rollback",">500 gatherings rollback","restaurant dine-in rollback","entertainment/gym rollback"
"1","11000","DC","district of columbia",737516,737509,737509,737500,737500,737500,737500,737495,737598,NA,NA,737542,737542
"2","11001","DC","district of columbia",737516,737509,737509,737500,737500,737500,737500,737495,737598,NA,NA,737542,737542
